day,date,susceptible,infected,recovered
50,2020-05-22,139994407.6502199,80997401.98236813,108484880.367412
51,2020-05-23,133715428.31066485,81490852.60889687,114270409.0804383
52,2020-05-24,127681534.54959546,81703971.18361649,120091184.26678808
53,2020-05-25,121904851.53338325,81644656.25814177,125927182.20847495
54,2020-05-26,116393526.39778063,81324220.23244855,131758943.3697708
55,2020-05-27,111152021.3076178,80756852.44886504,137567816.24351713
56,2020-05-28,106181476.1209482,79959051.03204429,143336162.84700748
57,2020-05-29,101480114.39325082,78949051.9717385,149047523.63501066
58,2020-05-30,97043668.94962552,77746279.41738248,154686741.63299197
59,2020-05-31,92865806.85652487,76370835.83781295,160240047.30566216
60,2020-06-01,88938537.77979589,74843045.21184103,165695107.0083631
61,2020-06-02,85252593.95111953,73183057.2396716,171041038.8092089
62,2020-06-03,81797773.92718348,71410516.03220254,176268400.040614
63,2020-06-04,78563245.78562492,69544293.02860375,181369151.18577132
64,2020-06-05,75537808.24079792,67602281.07138762,186336600.68781444
65,2020-06-06,72710110.35172747,65601244.598216094,191165335.05005643
66,2020-06-07,70068832.06877024,63556719.69558646,195851138.2356433
67,2020-06-08,67602828.89847206,61482957.17334276,200390903.9281852
68,2020-06-09,65301244.551129654,59392901.72258925,204782543.7262811
69,2020-06-10,63153595.67008207,57298200.48059474,209024893.84932318
70,2020-06-11,61149832.717405096,55209234.82751495,213117622.45507994
71,2020-06-12,59280380.88749065,53135169.88403547,217061139.22847387
72,2020-06-13,57536164.60387824,51084016.89021678,220856508.50590497
73,2020-06-14,55908618.77722698,49062704.36756685,224505366.85520616
74,2020-06-15,54389689.60181855,47077154.659577645,228009845.7386038
75,2020-06-16,52971827.27146437,45132363.085676275,231372499.64285934
76,2020-06-17,51647972.620931424,43232477.51580378,234596239.8632648
77,2020-06-18,50411539.35661977,41380876.67184374,237684273.9715365
78,2020-06-19,49256393.235531844,39580245.88779996,240640050.87666818
79,2020-06-20,48176829.28611878,37832649.41665588,243467211.29722533
80,2020-06-21,47167547.937403016,36139598.66418195,246169543.39841503
81,2020-06-22,46223630.73131858,34502115.96568196,248750943.30299947
82,2020-06-23,45340516.1340702,32920793.708238773,251215380.15769103
83,2020-06-24,44513975.83170402,31395848.745730754,253566865.42256522
84,2020-06-25,43740091.78918027,29927172.16355945,255809426.04726028
85,2020-06-26,43015234.26738774,28514374.53081202,257947081.20180026
86,2020-06-27,42336040.92538405,27156826.83490057,259983822.2397154
87,2020-06-28,41699397.08268473,25853697.33224985,261923595.58506542
88,2020-06-29,41102417.17603569,24603984.57230962,263770288.25165468
89,2020-06-30,40542427.4145333,23406546.86436132,265527715.72110537
90,2020-07-01,40016949.614294685,22260128.460002698,267199611.9257026
91,2020-07-02,39523686.177528314,21163382.721054595,268789621.10141706
92,2020-07-03,39060506.169487916,20114892.53473396,270301291.29577816
93,2020-07-04,38625432.43932241,19113188.226704165,271738069.3339734
94,2020-07-05,38216629.72637724,18156763.20917047,273103297.0644523
95,2020-07-06,37832393.69134222,17244087.5864076,274400208.72225016
96,2020-07-07,37471140.811207145,16373619.924656417,275631929.26413643
97,2020-07-08,37131399.077821374,15543817.37770959,276801473.54446906
98,2020-07-09,36811799.44160046,14753144.344094109,277911746.21430546
99,2020-07-10,36511067.94429978,14000079.81681664,278965542.2388836
100,2020-07-11,36228018.487564445,13283123.572350772,279965547.94008476
