day,date,hospitalized,icu,ventilated
85,2020-06-26,156028.97420360334,64745.537651577964,49782.96502038324
86,2020-06-27,146019.7090183692,60566.2382342685,46559.6584777371
87,2020-06-28,136703.77136795688,56677.471146353055,43560.71136967512
88,2020-06-29,128030.33888207283,53058.09082562337,40769.88029748085
89,2020-06-30,119952.21798842214,49688.403921522666,38172.00935792737
90,2020-07-01,112425.65543523245,46550.10837767925,35752.99161554151
91,2020-07-02,105410.14029129874,43626.224674064666,33499.72276895121
92,2020-07-03,98868.20244749635,40901.022466620896,31400.04982291162
93,2020-07-04,92765.21215154044,38359.94512393419,29442.716961908154
94,2020-07-05,87069.18390768766,35989.53405757854,27617.310314015253
95,2020-07-06,81750.58711733669,33777.35425531352,25914.202880227473
96,2020-07-07,76782.1650831541,31711.922036082018,24324.50057088444
97,2020-07-08,72138.76341183297,29782.63573660748,22839.990024317056
98,2020-07-09,67797.16839819681,27979.709796996787,21453.08867217647
99,2020-07-10,63735.95562970359,26294.112524962053,20156.79735116777
100,2020-07-11,59935.348793949,24717.507674728986,18944.65563365142
